COMPLAINT_ID	DATE	PRODUCT_ID	ISSUE_ID	cleaned_text
3178905	03/13/2019	44	318	go year . contact advis never took loan . advis seek counsel good credit mani fraudul charg made . sent letter also call spoke supervisor told stop . compani left alon year tri collect { $ 280.00 } fed almost gave wrong fraudul seek help desper time becom burdensom famili keep report compani .
3175952	03/12/2019	44	349	mail valid debt xx/xx/19 valid receiv , receiv communic xx/xx/19 indic inabl proper investig 30 day n't suffici amount time valid alleg debt . debt buyer , though valid receiv author contract author yet continu report bureaus without updat account disput . multipl violat fdcpa .
3174747	03/09/2019	44	16	xx/xx/xxxx appli receiv onlin loan bluechip financi dba . loan amount { $ 800.00 } 17 payment { $ 130.00 } total { $ 2200.00 } . made sever payment total { $ 930.00 } amount loan . , financi health issu come couldnt make payment . know onlin lender could contact indiana depart financi institut , feder trade commiss consum financi protect bureau . seem licens busi state indiana , charg illeg amount interest recogn feder state law . tribal law supersed state feder law especi sinc im member tribe resid reserv . bluechip financi also violat feder law , decept abus practic . turn mean loan legal , enforc collect . upon receiv inform contact via phone told told . convers still receiv email tri collect money . xx/xx/xxxx , receiv alert credit monitor app collect account ad . account report - regard account . make sever phone call told sold account compani . contact advis loan illeg thus make null , void uncollectableband need pull back account collect agenc . said case manger would look . wasnt given time frame even person name . contact xxxx- spoke , said manag , rude basic said money account need pay . advis loan illeg make null , void uncollect insist legal report credit bureau . sinc file disput credit bureau .
3173291	03/08/2019	44	16	xx/xx/xxxx appli receiv onlin loan . loan amount { $ 800.00 } 17 payment { $ 130.00 } total { $ 2200.00 } . made sever payment total { $ 930.00 } amount loan . , financi health issu come couldnt make payment . know onlin lender could contact indiana depart financi institut indiana secretari state , inform wasnt licens state indiana , theyr tribal leader charg illeg rate interest . advis loan illeg thus make null , void uncollect . upon receiv inform contact via phone told told . convers still receiv email tri collect money . xx/xx/xxxx , receiv alert credit monitor app collect account ad . account report - complet credit solut , inc . regard account . make sever phone call told sold account compani . contact advis loan illeg thus make null , void uncollectableband need pull back account collect agenc . said case manger would look . wasnt given time even person name . contact complet credit solutions- rude basic said money account need pay . advis loan null , void uncollect insist legal report credit bureau . sinc file disput within credit bureau . also anoth loan receiv xx/xx/xxxx paid full xx/xx/xxxx . loan amount { $ 800.00 } total amount paid { $ 2000.00 } .
3172221	03/07/2019	44	48	told husband left bill . debt would pay within coupl month , wo n't stop call cell work .
3172723	03/07/2019	44	310	payday loan , becam abl pay . everyon famili contact compani hire tri collect file legal action . compani ( ) gave everyon famili phone # along case # , would give birth date last four ss # could access inform ! call compani ask contact famili . said note account , yesterday even ( complianc offic ) contact brother law left inform name , # case # debt would get file court etc . call spoke tri work repay plan refus offer . also told sent certifi letter made numer attempt contact . never receiv anyth . email two time tri work without respons . compani hire extrem rude nasti , would give address , fax # inform file told `` need '' .
3171497	03/06/2019	44	320	within past week , contact oracl financi group llc three time messag threaten legal action . state need find attorney would abl practic sovereign land su . question ask send write . said sent document old address return . question mail get forward previous address consist usp , along photo piec go transfer sent email . becam defens , aggress , hung . immedi , start investig debt . call origin debtor . given debt outsid sourc , , within month . call compani told part invest group gave account oracl , phone number . right away , call oracl direct anoth person demand payment full amount owe settlement . told id call back . got phone consid make payment toward amount feel uncertain compani give anyth write . talk origin debtor told threat give su , told wasnt true . proceed call oracl back make payment close . left messag . call back left msg tell settlement offer expir . call back tri make partial payment financi abl accept settlement , said need full payment . told longer settlement offer . wouldnt set arrang , ask , said theyd get back . , ask write . within week , made sever attempt pay . everi time receiv call , one sever differ phone number . compani appear legal way communic conduct busi .
3171674	03/06/2019	44	103	call work said courthous owe money . got phone woman said never paid anyth ace , fact . said pleas send statement mail review claim . told late . told pay pay less settlement . said let know name address collect agenc would get back . refus said dont time . gave number call back , didnt give name . told report hang .
3170784	03/06/2019	44	318	today xx/xx/xxxx cst contact ks . receiv approxim call phone recogn past 24 hour . persist caus answer last call . upon answer origin repres repeat state . person busi matter attempt collect debt skeptic . repres name birthdat didnt identifi compani demand name employ . disconcert kept say regard person busi matter never attempt collect debt . disconnect call look compani obtain number call . anoth repres advis attempt collect debt . shock use monitor credit clean credit . hadnt open new account went delinqu account . repres advis owe approxim { $ 230.00 } payday loan owe advanc america . shock last communic compani . sinc ive receiv copi credit report least per year three bureaus never seen entri compani . inform repres debt inde valid point time isnt action point beyond 6 year statut limit collect debt tennesse pursuant tennesse t. c.a . 28-3-109. resid tennesse dealt advanc america insid tennesse . repres advis could still collect zombi debt could use credit bureaus recours .
3171479	03/06/2019	44	19	cashcal attempt collect fraudul debt . ident stolen= $ charg credit card inform . sinc remov credit report . cashcal time remov debt provid verif . pursu fraudul avail . go four year . held debt collect beyond legal limit state refus move receiv two separ cfpb complaint . provid form inform verifi sourc form inform . go four year need remov .
